iter	Passed	Remaining
398	228035	57723
399	228573	57143
400	229137	56570
401	229637	55981
402	230168	55400
403	230709	54821
404	231269	54248
405	231785	53664
406	232357	53094
407	232932	52524
408	233528	51958
409	234143	51397
410	234691	50821
411	235205	50238
412	235805	49673
413	236369	49100
414	236907	48523
415	237467	47950
416	237997	47371
417	238561	46799
418	239125	46227
419	239718	45660
420	240456	45121
421	241024	44549
422	241627	43984
423	242203	43413
424	242825	42851
425	243238	42252
426	243789	41678
427	244417	41116
428	244807	40515
429	245296	39931
430	245853	39359
431	246309	38770
432	247022	38222
433	247689	37667
434	248249	37094
435	248853	36528
436	249368	35950
437	250130	35406
438	250702	34835
439	251215	34256
440	251775	33684
441	252315	33109
442	252867	32535
443	253354	31954
444	253921	31383
445	254389	30800
446	254983	30232
447	255529	29659
448	256069	29085
449	256528	28503
450	257065	27929
451	257620	27357
452	258071	26775
453	258534	26195
454	259065	25621
455	259590	25048
456	260139	24477
457	260664	23903
458	261185	23330
459	261684	22755
460	262192	22181
461	262649	21603
462	263217	21034
463	263643	20455
464	264080	19877
465	264583	19304
466	265094	18732
467	265630	18162
468	266162	17592
469	266694	17023
470	267225	16453
471	267805	15886
472	268448	15323
473	269078	14759
474	269639	14191
475	270129	13619
476	270634	13049
477	271101	12477
478	271502	11903
479	271873	11328
480	272241	10753
481	272755	10185
482	273147	9613
483	273541	9042
484	273951	8472
485	274350	7903
486	274764	7334
487	275150	6766
488	275430	6195
489	275636	5625
490	275842	5056
491	276056	4488
492	276260	3922
493	276469	3357
494	276595	2793
495	276710	2231
496	276830	1671
497	276940	1112
498	277046	555
499	277154	0
