iter	Logloss
146	0.1693492421
147	0.1693445665
148	0.1693396679
149	0.169335089
150	0.1693306931
151	0.1693262663
152	0.169320772
153	0.169314767
154	0.169310431
155	0.1693057303
156	0.1693007885
157	0.1692963652
158	0.1692917575
159	0.1692880553
160	0.1692839891
161	0.1692795314
162	0.1692751337
163	0.1692712044
164	0.1692627378
165	0.1691616763
166	0.1691558048
167	0.1691489928
168	0.1691443659
169	0.1691410217
170	0.1691372272
171	0.1691336806
172	0.1691294392
173	0.1691222878
174	0.169118105
175	0.1691139452
176	0.1691096479
177	0.1691063115
178	0.1690921187
179	0.1690874089
180	0.1690840512
181	0.1690798351
182	0.1690725697
183	0.1690657989
184	0.1690613798
185	0.1690575437
186	0.1690539824
187	0.1690497828
188	0.1690460407
189	0.1690430629
190	0.1690390571
191	0.1690358098
192	0.1690320596
193	0.1690272135
194	0.1690241642
195	0.1690202184
196	0.169016604
197	0.1689652157
198	0.1689621861
199	0.1688943702
200	0.1688903493
201	0.1688870528
202	0.16888293
203	0.1688789553
204	0.1688759662
205	0.1688727666
206	0.1688691985
207	0.1688015928
208	0.1687976137
209	0.1687953621
210	0.1687872829
211	0.1687845349
212	0.1687801998
213	0.1687762976
214	0.1687732452
215	0.168769444
216	0.16876642
217	0.1687626722
218	0.1687586924
219	0.1687548339
220	0.1687493258
221	0.168688734
222	0.168684297
223	0.1686812556
224	0.1686777858
225	0.1686750412
226	0.1686721594
227	0.1686683099
228	0.168664499
229	0.168661599
230	0.1686589843
231	0.168651639
232	0.168648094
233	0.1686446874
234	0.1686384455
235	0.1686356685
236	0.1686327513
237	0.1686293687
238	0.1686250173
239	0.1686218981
240	0.1686189048
241	0.1686162795
242	0.1686111588
243	0.1686078115
244	0.168604636
245	0.1686004032
246	0.1685959265
247	0.1685308907
248	0.1685272468
249	0.1685235102
250	0.1685206686
251	0.1685164631
252	0.1685132814
253	0.1685101481
254	0.1685065795
255	0.1685021888
256	0.1684985873
257	0.1684953787
258	0.1684916307
259	0.1684880195
260	0.1684128703
261	0.1684093078
262	0.1684059169
263	0.1684029314
264	0.1683996053
265	0.1683962399
266	0.1683933352
267	0.1683905612
268	0.168385987
269	0.1683829064
270	0.168379893
271	0.1683759049
272	0.1683733165
273	0.1683706635
274	0.1683681142
275	0.1683626774
276	0.1683035369
277	0.168295097
278	0.1682922598
279	0.1682891833
280	0.1682868209
281	0.1682842291
282	0.1682803588
283	0.1682773118
284	0.1682745697
285	0.1682719759
286	0.1682688668
287	0.1682653061
288	0.1682630178
289	0.1682324116
290	0.1682302627
291	0.1682263171
292	0.168223477
293	0.1682204243
294	0.168216707
295	0.1682125999
296	0.1682101756
297	0.1682072667
298	0.1682033768
299	0.1681993023
300	0.1681959249
301	0.1681916965
302	0.1681888066
303	0.168185592
304	0.1681818872
305	0.1681787137
306	0.1681753354
307	0.1681721678
308	0.1681690369
309	0.1681624752
310	0.1681585891
311	0.168154443
312	0.1681515163
313	0.1681477551
314	0.1681433091
315	0.1681401805
316	0.1681379105
317	0.1681338778
318	0.1681305868
319	0.1681271215
320	0.1681227587
321	0.1681196715
322	0.1680772469
323	0.1680738252
324	0.1680703501
325	0.168062229
326	0.1680577417
327	0.1680543944
328	0.1679969059
329	0.1679928205
330	0.1679898751
331	0.167987439
332	0.1679231657
333	0.1679191924
334	0.1679154378
335	0.1679126802
336	0.1679094478
337	0.1679061758
338	0.1679026241
339	0.167898993
340	0.1678955481
341	0.1678907872
342	0.167887717
343	0.1678835444
344	0.1678807051
345	0.1678777767
346	0.1678739808
347	0.1678714
348	0.1678684583
349	0.1678654015
350	0.1678622113
351	0.1678595206
352	0.1678558288
353	0.1678529715
354	0.1678499181
355	0.167846589
356	0.1678434282
357	0.1678400712
358	0.1678361002
359	0.1678321366
360	0.167828127
361	0.1678254289
362	0.1678201322
363	0.1678164643
364	0.1678127202
365	0.167809224
366	0.1678054758
367	0.1678014904
368	0.1677984342
369	0.1677950482
370	0.1677910663
371	0.1677875552
372	0.1677841638
373	0.1677803341
374	0.1677776642
375	0.1677749672
376	0.167771535
377	0.167768923
378	0.167765223
379	0.1677620638
380	0.1677593007
381	0.167755424
382	0.1677525135
383	0.1677491335
384	0.1677455545
385	0.1677419737
386	0.1677385421
387	0.1677351299
388	0.1677323906
389	0.1677293596
390	0.1677260826
391	0.1677217947
392	0.1677184014
393	0.1677159312
394	0.1677138211
395	0.1677098753
396	0.1677062734
397	0.1677030867
398	0.1677000365
399	0.1676956685
400	0.1676909449
401	0.1676887043
402	0.1676855356
403	0.1676827663
404	0.1676788525
405	0.1676741444
406	0.1676702919
407	0.1676668904
408	0.1676637287
409	0.1676602237
410	0.1676565339
411	0.1676525653
412	0.1676500312
413	0.167646429
414	0.1676428852
415	0.1676397273
416	0.1676034118
417	0.1675998278
418	0.1675966928
419	0.1675937442
420	0.1675908863
421	0.167587217
422	0.1675843611
423	0.167580717
424	0.1675781254
425	0.1675749057
426	0.1675697365
427	0.1675670195
428	0.167563405
429	0.1675598066
430	0.1675568596
431	0.1675529099
432	0.1675495325
433	0.1675446913
434	0.1675415202
435	0.1675382882
436	0.1675345559
437	0.1675315366
438	0.1675282307
439	0.1675247738
440	0.1675202113
441	0.1675171817
442	0.1675130055
443	0.1675085947
444	0.1675046259
445	0.1675011993
446	0.1674988441
447	0.1674960599
448	0.1674923858
449	0.1674892627
450	0.1674871206
451	0.1674836188
452	0.1674801621
453	0.1674771285
454	0.1674737371
455	0.1674698913
456	0.1674662589
457	0.1674629098
458	0.1674600778
459	0.1674563023
460	0.1674524194
461	0.1674054378
462	0.1674014305
463	0.1673985113
464	0.1673957673
465	0.1673926015
466	0.1673896191
467	0.1673851477
468	0.1673823616
469	0.1673788232
470	0.1673760799
471	0.1673737179
472	0.1673711086
473	0.1673677445
474	0.1673649312
475	0.167361818
476	0.167358818
477	0.1673550186
478	0.1673515529
479	0.1673484086
480	0.1673459418
481	0.1673427412
482	0.1673400021
483	0.1673368152
484	0.1673342583
485	0.1673322667
486	0.1673285708
487	0.167325602
488	0.1673228631
489	0.1673198043
490	0.1673164882
491	0.1673128267
492	0.1673101404
493	0.1673068714
494	0.1673030826
495	0.1672995418
496	0.1672964597
497	0.1672930494
498	0.16728999
499	0.167286885
9	0.1672759015
