iter	Logloss
0	0.6388299857
1	0.5753104723
2	0.5269573656
3	0.480700507
4	0.4425465161
5	0.4099586793
6	0.3882905827
7	0.3685704688
8	0.3470521641
9	0.3346547345
10	0.3206311176
11	0.3084342903
12	0.2939857583
13	0.2865998832
14	0.2765227654
15	0.2646604271
16	0.2565865988
17	0.2497172726
18	0.24368052
19	0.2375673544
20	0.2308895031
21	0.2264795996
22	0.2224172545
23	0.2170422302
24	0.2122087946
25	0.2091306616
26	0.2062051348
27	0.2029712028
28	0.2002745854
29	0.1975394481
30	0.1950174569
31	0.1933278889
32	0.1918185054
33	0.190441593
34	0.1888604272
35	0.1874151058
36	0.1864627292
37	0.1849886827
38	0.1840385453
39	0.1833141762
40	0.1818613504
41	0.181134135
42	0.1800757775
43	0.1791441997
44	0.1786284984
45	0.1778096873
46	0.1774140355
47	0.1770528075
48	0.1767054418
49	0.1763976991
50	0.1761363052
51	0.1758701115
52	0.1756577978
53	0.1754415944
54	0.1752370076
55	0.1750672783
56	0.17488429
57	0.1744221934
58	0.1740223281
59	0.1735955886
60	0.1732361375
61	0.1729232152
62	0.1728175782
63	0.1723525951
64	0.1722477267
65	0.172035203
66	0.1719529101
67	0.17164416
68	0.1714287267
69	0.1713540461
70	0.1711538066
71	0.1710990197
72	0.1709504485
73	0.1708998124
74	0.1708500704
75	0.1707754733
76	0.1707340172
77	0.1706640541
78	0.1705013628
79	0.1704641461
80	0.1704221235
81	0.1703810095
82	0.1703489705
83	0.1703048799
84	0.1702759923
85	0.1702456862
86	0.1702190206
87	0.1701969191
88	0.1701682708
89	0.1701519488
90	0.1701323892
91	0.1700969258
92	0.1700665464
93	0.1700477021
94	0.1700323658
95	0.170016533
96	0.1700035428
97	0.1699892689
98	0.169973794
99	0.1699610458
100	0.1698434548
101	0.1698263995
102	0.1698150827
103	0.1698011542
104	0.169789638
105	0.1697686978
106	0.1697590465
107	0.1697463541
108	0.1697377589
109	0.1697300898
110	0.1697191302
111	0.1697105897
112	0.1696975575
113	0.1696861915
114	0.1696672628
115	0.1696587095
116	0.1696507969
117	0.1696295773
118	0.1696228915
119	0.1696153752
120	0.1695998204
121	0.1695940426
122	0.1695870618
123	0.1695796854
124	0.169569591
125	0.1695563033
126	0.1695468156
127	0.1695393071
128	0.169528539
129	0.169522684
130	0.169517429
131	0.169511512
132	0.1695043538
133	0.1694928941
134	0.1694874257
135	0.1694813785
136	0.1694753552
137	0.1694697921
138	0.1694621197
139	0.1694558395
140	0.1694490126
141	0.1693740072
142	0.1693698248
143	0.169364093
144	0.1693601944
145	0.1693548389
